,poistion_rank,first_name,last_name,injuryr_status
0,PG2,delon,wright,injured
1,PG4,lou,williams,active
2,PG6,cam,reddish,active
3,PG8,skylar,mays,active
4,PG10,chris,clemons,active
5,SG2,lou,williams,active
6,SG4,cam,reddish,active
7,SG6,timothe,luwawu-cabarrot,injured
8,SG9,cat,barber,active
9,SG11,chris,clemons,active
10,SF2,cam,reddish,active
11,SF4,danilo,gallinari,injured
12,SF6,jalen,johnson,active
13,SF8,wes,iwundu,active
14,SF11,de'andre,hunter,active
15,PF1,john,collins,active
16,PF3,jalen,johnson,active
17,PF5,wes,iwundu,active
18,PF7,gorgui,dieng,active
19,PF9,justin,tillman,active
20,PF11,de'andre,hunter,active
21,C1,clint,capela,active
22,C3,john,collins,active
23,C5,cameron,oliver,active
24,PG2,payton,pritchard,active
25,PG4,brodric,thomas,active
26,SG2,josh,richardson,active
27,SG4,aaron,nesmith,active
28,SG6,romeo,langford,active
29,SF1,jayson,tatum,injured
30,SF3,jaylen,brown,active
31,SF5,josh,richardson,active
32,SF7,jabari,parker,active
33,SF9,marcus,smart,active
34,SF11,joe,johnson,active
35,PF1,al,horford,active
36,PF3,jayson,tatum,injured
37,PF5,juancho,hernangomez,active
38,PF7,al,farouq-aminu,active
39,C1,robert,williams-iii,active
40,C3,al,horford,active
41,C5,bruno,fernando,active
42,PG2,cam,thomas,active
43,PG4,patty,mills,active
44,PG6,shaquille,harrison,active
45,SG1,patty,mills,active
46,SG3,cam,thomas,active
47,SG5,jevon,carter,active
48,SG7,langston,galloway,active
49,SG9,shaquille,harrison,active
50,SG11,kyrie,irving,active
51,SF2,bruce,brown,active
52,SF4,kessler,edwards,active
53,SF6,joe,harris,active
54,PF2,james,johnson,active
55,PF4,blake,griffin,active
56,PF6,lamarcus,aldridge,active
57,C1,nic,claxton,active
58,C3,lamarcus,aldridge,active
59,C5,day'ron,sharpe,active
60,C7,kevin,durant,active
61,PG2,ish,smith,active
62,PG4,cody,martin,active
63,SG2,cody,martin,active
64,SG4,lamelo,ball,active
65,SG6,scottie,lewis,active
66,SF2,kelly,oubre-jr.,active
67,SF4,cody,martin,active
68,SF6,terry,rozier,active
69,PF1,miles,bridges,injured
70,PF3,p.j.,washington,injured
71,PF5,jt,thor,active
72,C1,mason,plumlee,active
73,C3,nick,richards,active
74,C5,kai,jones,active
75,PG2,coby,white,active
76,PG4,ayo,dosunmu,active
77,PG6,devon,dotson,active
78,SG1,zach,lavine,active
79,SG3,ayo,dosunmu,active
80,SG5,matt,thomas,active
81,SG7,javonte,green,injured
82,SG9,mac,mcclung,active
83,SF2,derrick,jones-jr.,active
84,SF4,troy,brown-jr.,active
85,SF6,demar,derozan,active
86,PF1,demar,derozan,active
87,PF3,troy,brown-jr.,active
88,PF5,javonte,green,injured
89,PF7,marko,simonovic,active
90,PF9,patrick,williams,active
91,C2,tony,bradley,active
92,C4,derrick,jones-jr.,active
93,C6,marko,simonovic,active
94,PG2,kevin,pangos,active
95,PG4,malik,newman,active
96,PG6,collin,sexton,active
97,PG8,brandon,goodwin,active
98,SG2,cedi,osman,active
99,SG4,darius,garland,active
100,SG6,malik,newman,active
101,SF1,lauri,markkanen,active
102,SF3,cedi,osman,active
103,SF5,dean,wade,active
104,PF1,evan,mobley,active
105,PF3,kevin,love,active
106,PF5,cedi,osman,active
107,PF7,isaac,okoro,active
108,PF9,trevon,scott,active
109,C2,kevin,love,active
110,C4,ed,davis,active
111,C6,luke,kornet,active
112,C8,dean,wade,active
113,PG2,jalen,brunson,active
114,PG4,trey,burke,active
115,PG6,jaquori,mclaughlin,active
116,SG1,reggie,bullock,active
117,SG3,jalen,brunson,active
118,SG5,frank,ntilikina,active
119,SG7,theo,pinson,active
120,SG9,luka,doncic,injured
121,SG11,george,king,active
122,SF1,dorian,finney-smith,active
123,SF3,josh,green,active
124,SF5,sterling,brown,active
125,SF7,george,king,active
126,PF2,maxi,kleber,active
127,PF4,marquese,chriss,active
128,C1,willie,cauley-stein,active
129,C3,moses,brown,active
130,C5,maxi,kleber,active
131,C7,kristaps,porzingis,active
132,PG2,bones,hyland,active
133,PG4,austin,rivers,active
134,PG6,carlik,jones,active
